contract_id,charge_id,income_type,amount,due_date,description,is_voided
1100727222,11007272221700,1,  199.00,20140620,TUITION,0
1100727222,11007272221800,1,  199.00,20140720,TUITION,0
1100727222,11007272221900,1,  199.00,20140820,TUITION,0
1100727222,11007272222000,1,  199.00,20140920,TUITION,0
1100727222,11007272222100,1,  199.00,20141020,TUITION,0
1100727522,11007275221000,1,  143.00,20130620,TUITION,0
1100727522,11007275221100,1,  143.00,20130720,TUITION,0
1100727522,11007275221200,1,  143.00,20130820,TUITION,0
1100727522,11007275221300,1,  143.00,20130920,TUITION,0
1100727522,11007275221400,1,  143.00,20131020,TUITION,0
1100727522,11007275221500,1,  143.00,20131120,TUITION,0
1100727522,11007275221600,1,  143.00,20131220,TUITION,0
1100727522,11007275221700,1,  143.00,20140120,TUITION,0
1100727522,11007275221800,1,  143.00,20140220,TUITION,0
1100727522,11007275221900,1,  143.00,20140320,TUITION,0
1100727522,11007275222000,1,  143.00,20140420,TUITION,0
1100727522,11007275222100,1,  143.00,20140520,TUITION,0
1100728224,11007282241000,1, 5736.00,20130108,TUITION,0
1100728322,11007283221000,1, 1559.00,20130910,TUITION,0
1100728622,11007286221000,1,  895.00,20130929,TUITION,0
1100728622,11007286221100,1, 1495.00,20131028,TUITION,0
1100728922,11007289221000,1,  191.00,20130320,TUITION,0
1100728922,11007289221100,1,  191.00,20130420,TUITION,0
1100728922,11007289221200,1,  191.00,20130520,TUITION,0
1100728922,11007289221300,1,  191.00,20130620,TUITION,0
1100728922,11007289221400,1,  191.00,20130720,TUITION,0
1100728922,11007289221500,1,  191.00,20130820,TUITION,0
1100728922,11007289221600,1,    2.00,20130920,TUITION,0
1100729422,11007294221000,1,  859.50,20140122,TUITION,0
1100729422,11007294221100,1,  859.50,20140221,TUITION,0
1100729522,11007295221000,1, 1075.50,20140122,TUITION,0
1100729522,11007295221100,1, 1075.50,20140221,TUITION,0
1100729822,11007298221000,1,  425.00,20130604,TUITION,0
1100729822,11007298221100,1,  426.00,20130703,TUITION,0
1100729822,11007298221200,1,  425.00,20130803,TUITION,0
1100731222,11007312221000,1,  239.00,20130805,TUITION,0
1100731222,11007312221100,1,  239.00,20130905,TUITION,0
1100731222,11007312221200,1,  239.00,20131005,TUITION,0
1100731222,11007312221300,1,  239.00,20131105,TUITION,0
1100731222,11007312221400,1,  239.00,20131205,TUITION,0
1100731222,11007312221500,1,  239.00,20140105,TUITION,0
1100731222,11007312221600,1,  239.00,20140205,TUITION,0
1100731222,11007312221700,1,  239.00,20140305,TUITION,0
1100731222,11007312221800,1,  239.00,20140405,TUITION,0
1100731222,11007312221900,1,  239.00,20140505,TUITION,0
1100731222,11007312222000,1,  239.00,20140605,TUITION,0
1100731222,11007312222100,1,  239.00,20140705,TUITION,0
1100731422,11007314221000,1, 1160.00,20130603,TUITION,0
1100731522,11007315221000,1,  921.00,20130603,TUITION,0
1100731621,11007316211000,1, 1840.00,20130203,TUITION,0
1100731721,11007317211000,1,   99.00,20130206,TUITION,0
1100731721,11007317211100,1,  199.00,20130305,TUITION,0
1100731721,11007317211200,1,  199.00,20130405,TUITION,0
1100731721,11007317211300,1,  199.00,20130505,TUITION,0
1100731721,11007317211400,1,  199.00,20130605,TUITION,0
1100731721,11007317211500,1,  199.00,20130705,TUITION,0
